,Date,Conference,Conference_Total_Votes,Total_Daily_Votes,Conference_Share,Team_Count,Conference_Share_Per_Team
49,2017-08-18,FBS Independents,65,19825,0.003278688524590164,3,0.001092896174863388
50,2017-08-18,Mid-American,0,19825,0.0,12,0.0
51,2017-08-18,Mountain West,46,19825,0.0023203026481715006,12,0.00019335855401429172
52,2017-08-18,Pac-12,133,19825,0.006708701134930643,2,0.0033543505674653216
53,2017-08-18,SEC,5954,19825,0.300327868852459,16,0.018770491803278687
54,2017-08-18,Sun Belt,4,19825,0.000201765447667087,14,1.4411817690506215e-05
55,2017-08-19,ACC,4702,19825,0.23717528373266078,17,0.01395148727839181
56,2017-08-19,American Athletic,331,19825,0.01669609079445145,14,0.0011925779138893893
57,2017-08-19,Big 12,1638,19825,0.08262295081967214,16,0.0051639344262295085
58,2017-08-19,Big Ten,6952,19825,0.3506683480453972,18,0.019481574891410957
59,2017-08-19,Conference USA,0,19825,0.0,10,0.0
60,2017-08-19,FBS Independents,65,19825,0.003278688524590164,3,0.001092896174863388
61,2017-08-19,Mid-American,0,19825,0.0,12,0.0
62,2017-08-19,Mountain West,46,19825,0.0023203026481715006,12,0.00019335855401429172
63,2017-08-19,Pac-12,133,19825,0.006708701134930643,2,0.0033543505674653216
64,2017-08-19,SEC,5954,19825,0.300327868852459,16,0.018770491803278687
65,2017-08-19,Sun Belt,4,19825,0.000201765447667087,14,1.4411817690506215e-05
66,2017-08-20,ACC,4702,19825,0.23717528373266078,17,0.01395148727839181
67,2017-08-20,American Athletic,331,19825,0.01669609079445145,14,0.0011925779138893893
68,2017-08-20,Big 12,1638,19825,0.08262295081967214,16,0.0051639344262295085
69,2017-08-20,Big Ten,6952,19825,0.3506683480453972,18,0.019481574891410957
70,2017-08-20,Conference USA,0,19825,0.0,10,0.0
71,2017-08-20,FBS Independents,65,19825,0.003278688524590164,3,0.001092896174863388
72,2017-08-20,Mid-American,0,19825,0.0,12,0.0
73,2017-08-20,Mountain West,46,19825,0.0023203026481715006,12,0.00019335855401429172
74,2017-08-20,Pac-12,133,19825,0.006708701134930643,2,0.0033543505674653216
75,2017-08-20,SEC,5954,19825,0.300327868852459,16,0.018770491803278687
76,2017-08-20,Sun Belt,4,19825,0.000201765447667087,14,1.4411817690506215e-05
77,2017-08-21,ACC,4624,19825,0.2332408575031526,17,0.013720050441361917
78,2017-08-21,American Athletic,208,19825,0.010491803278688525,14,0.0007494145199063232
79,2017-08-21,Big 12,1751,19825,0.08832282471626735,16,0.005520176544766709
80,2017-08-21,Big Ten,7281,19825,0.36726355611601513,18,0.020403530895334174
81,2017-08-21,Conference USA,0,19825,0.0,10,0.0
82,2017-08-21,FBS Independents,141,19825,0.007112232030264817,3,0.0023707440100882724
83,2017-08-21,Mid-American,0,19825,0.0,12,0.0
84,2017-08-21,Mountain West,33,19825,0.0016645649432534678,12,0.00013871374527112232
85,2017-08-21,Pac-12,216,19825,0.010895334174022699,2,0.005447667087011349
86,2017-08-21,SEC,5571,19825,0.2810088272383354,16,0.017563051702395964
87,2017-08-21,Sun Belt,0,19825,0.0,14,0.0
88,2017-08-22,ACC,4624,19825,0.2332408575031526,17,0.013720050441361917
89,2017-08-22,American Athletic,208,19825,0.010491803278688525,14,0.0007494145199063232
90,2017-08-22,Big 12,1751,19825,0.08832282471626735,16,0.005520176544766709
91,2017-08-22,Big Ten,7281,19825,0.36726355611601513,18,0.020403530895334174
92,2017-08-22,Conference USA,0,19825,0.0,10,0.0
93,2017-08-22,FBS Independents,141,19825,0.007112232030264817,3,0.0023707440100882724
94,2017-08-22,Mid-American,0,19825,0.0,12,0.0
95,2017-08-22,Mountain West,33,19825,0.0016645649432534678,12,0.00013871374527112232
96,2017-08-22,Pac-12,216,19825,0.010895334174022699,2,0.005447667087011349
97,2017-08-22,SEC,5571,19825,0.2810088272383354,16,0.017563051702395964
98,2017-08-22,Sun Belt,0,19825,0.0,14,0.0
99,2017-08-23,ACC,4624,19825,0.2332408575031526,17,0.013720050441361917
100,2017-08-23,American Athletic,208,19825,0.010491803278688525,14,0.0007494145199063232
101,2017-08-23,Big 12,1751,19825,0.08832282471626735,16,0.005520176544766709
102,2017-08-23,Big Ten,7281,19825,0.36726355611601513,18,0.020403530895334174
103,2017-08-23,Conference USA,0,19825,0.0,10,0.0
104,2017-08-23,FBS Independents,141,19825,0.007112232030264817,3,0.0023707440100882724
105,2017-08-23,Mid-American,0,19825,0.0,12,0.0
106,2017-08-23,Mountain West,33,19825,0.0016645649432534678,12,0.00013871374527112232
107,2017-08-23,Pac-12,216,19825,0.010895334174022699,2,0.005447667087011349
108,2017-08-23,SEC,5571,19825,0.2810088272383354,16,0.017563051702395964
109,2017-08-23,Sun Belt,0,19825,0.0,14,0.0
110,2017-08-24,ACC,4624,19825,0.2332408575031526,17,0.013720050441361917
111,2017-08-24,American Athletic,208,19825,0.010491803278688525,14,0.0007494145199063232
112,2017-08-24,Big 12,1751,19825,0.08832282471626735,16,0.005520176544766709
113,2017-08-24,Big Ten,7281,19825,0.36726355611601513,18,0.020403530895334174
114,2017-08-24,Conference USA,0,19825,0.0,10,0.0
115,2017-08-24,FBS Independents,141,19825,0.007112232030264817,3,0.0023707440100882724
116,2017-08-24,Mid-American,0,19825,0.0,12,0.0
117,2017-08-24,Mountain West,33,19825,0.0016645649432534678,12,0.00013871374527112232
118,2017-08-24,Pac-12,216,19825,0.010895334174022699,2,0.005447667087011349
119,2017-08-24,SEC,5571,19825,0.2810088272383354,16,0.017563051702395964
120,2017-08-24,Sun Belt,0,19825,0.0,14,0.0
121,2017-08-25,ACC,4624,19825,0.2332408575031526,17,0.013720050441361917
122,2017-08-25,American Athletic,208,19825,0.010491803278688525,14,0.0007494145199063232
123,2017-08-25,Big 12,1751,19825,0.08832282471626735,16,0.005520176544766709
124,2017-08-25,Big Ten,7281,19825,0.36726355611601513,18,0.020403530895334174
125,2017-08-25,Conference USA,0,19825,0.0,10,0.0
126,2017-08-25,FBS Independents,141,19825,0.007112232030264817,3,0.0023707440100882724
127,2017-08-25,Mid-American,0,19825,0.0,12,0.0
128,2017-08-25,Mountain West,33,19825,0.0016645649432534678,12,0.00013871374527112232
129,2017-08-25,Pac-12,216,19825,0.010895334174022699,2,0.005447667087011349
130,2017-08-25,SEC,5571,19825,0.2810088272383354,16,0.017563051702395964
131,2017-08-25,Sun Belt,0,19825,0.0,14,0.0
132,2017-08-26,ACC,4624,19825,0.2332408575031526,17,0.013720050441361917
133,2017-08-26,American Athletic,208,19825,0.010491803278688525,14,0.0007494145199063232
134,2017-08-26,Big 12,1751,19825,0.08832282471626735,16,0.005520176544766709
135,2017-08-26,Big Ten,7281,19825,0.36726355611601513,18,0.020403530895334174
136,2017-08-26,Conference USA,0,19825,0.0,10,0.0
137,2017-08-26,FBS Independents,141,19825,0.007112232030264817,3,0.0023707440100882724
138,2017-08-26,Mid-American,0,19825,0.0,12,0.0
139,2017-08-26,Mountain West,33,19825,0.0016645649432534678,12,0.00013871374527112232
140,2017-08-26,Pac-12,216,19825,0.010895334174022699,2,0.005447667087011349
141,2017-08-26,SEC,5571,19825,0.2810088272383354,16,0.017563051702395964
142,2017-08-26,Sun Belt,0,19825,0.0,14,0.0
143,2017-08-27,ACC,4624,19825,0.2332408575031526,17,0.013720050441361917
144,2017-08-27,American Athletic,208,19825,0.010491803278688525,14,0.0007494145199063232
145,2017-08-27,Big 12,1751,19825,0.08832282471626735,16,0.005520176544766709
146,2017-08-27,Big Ten,7281,19825,0.36726355611601513,18,0.020403530895334174
147,2017-08-27,Conference USA,0,19825,0.0,10,0.0
148,2017-08-27,FBS Independents,141,19825,0.007112232030264817,3,0.0023707440100882724
149,2017-08-27,Mid-American,0,19825,0.0,12,0.0
150,2017-08-27,Mountain West,33,19825,0.0016645649432534678,12,0.00013871374527112232
151,2017-08-27,Pac-12,216,19825,0.010895334174022699,2,0.005447667087011349
152,2017-08-27,SEC,5571,19825,0.2810088272383354,16,0.017563051702395964
153,2017-08-27,Sun Belt,0,19825,0.0,14,0.0
154,2017-08-28,ACC,4449,19825,0.22441361916771752,17,0.013200801127512795
155,2017-08-28,American Athletic,188,19825,0.00948297604035309,14,0.0006773554314537921
156,2017-08-28,Big 12,2071,19825,0.1044640605296343,16,0.006529003783102144
157,2017-08-28,Big Ten,7075,19825,0.35687263556116017,18,0.019826257531175565
158,2017-08-28,Conference USA,0,19825,0.0,10,0.0
159,2017-08-28,FBS Independents,31,19825,0.0015636822194199243,3,0.0005212274064733081
160,2017-08-28,Mid-American,0,19825,0.0,12,0.0
161,2017-08-28,Mountain West,19,19825,0.0009583858764186633,12,7.986548970155528e-05
162,2017-08-28,Pac-12,233,19825,0.01175283732660782,2,0.00587641866330391
163,2017-08-28,SEC,5759,19825,0.2904918032786885,16,0.018155737704918032
164,2017-08-28,Sun Belt,0,19825,0.0,14,0.0
165,2017-08-29,ACC,4449,19825,0.22441361916771752,17,0.013200801127512795
166,2017-08-29,American Athletic,188,19825,0.00948297604035309,14,0.0006773554314537921
167,2017-08-29,Big 12,2071,19825,0.1044640605296343,16,0.006529003783102144
168,2017-08-29,Big Ten,7075,19825,0.35687263556116017,18,0.019826257531175565
169,2017-08-29,Conference USA,0,19825,0.0,10,0.0
170,2017-08-29,FBS Independents,31,19825,0.0015636822194199243,3,0.0005212274064733081
171,2017-08-29,Mid-American,0,19825,0.0,12,0.0
172,2017-08-29,Mountain West,19,19825,0.0009583858764186633,12,7.986548970155528e-05
173,2017-08-29,Pac-12,233,19825,0.01175283732660782,2,0.00587641866330391
174,2017-08-29,SEC,5759,19825,0.2904918032786885,16,0.018155737704918032
175,2017-08-29,Sun Belt,0,19825,0.0,14,0.0
176,2017-08-30,ACC,4449,19825,0.22441361916771752,17,0.013200801127512795
177,2017-08-30,American Athletic,188,19825,0.00948297604035309,14,0.0006773554314537921
178,2017-08-30,Big 12,2071,19825,0.1044640605296343,16,0.006529003783102144
179,2017-08-30,Big Ten,7075,19825,0.35687263556116017,18,0.019826257531175565
180,2017-08-30,Conference USA,0,19825,0.0,10,0.0
181,2017-08-30,FBS Independents,31,19825,0.0015636822194199243,3,0.0005212274064733081
182,2017-08-30,Mid-American,0,19825,0.0,12,0.0
183,2017-08-30,Mountain West,19,19825,0.0009583858764186633,12,7.986548970155528e-05
184,2017-08-30,Pac-12,233,19825,0.01175283732660782,2,0.00587641866330391
185,2017-08-30,SEC,5759,19825,0.2904918032786885,16,0.018155737704918032
186,2017-08-30,Sun Belt,0,19825,0.0,14,0.0
187,2017-08-31,ACC,4449,19825,0.22441361916771752,17,0.013200801127512795
188,2017-08-31,American Athletic,188,19825,0.00948297604035309,14,0.0006773554314537921
189,2017-08-31,Big 12,2071,19825,0.1044640605296343,16,0.006529003783102144
190,2017-08-31,Big Ten,7075,19825,0.35687263556116017,18,0.019826257531175565
191,2017-08-31,Conference USA,0,19825,0.0,10,0.0
192,2017-08-31,FBS Independents,31,19825,0.0015636822194199243,3,0.0005212274064733081
193,2017-08-31,Mid-American,0,19825,0.0,12,0.0
194,2017-08-31,Mountain West,19,19825,0.0009583858764186633,12,7.986548970155528e-05
195,2017-08-31,Pac-12,233,19825,0.01175283732660782,2,0.00587641866330391
196,2017-08-31,SEC,5759,19825,0.2904918032786885,16,0.018155737704918032
197,2017-08-31,Sun Belt,0,19825,0.0,14,0.0
198,2017-09-01,ACC,4449,19825,0.22441361916771752,17,0.013200801127512795
199,2017-09-01,American Athletic,188,19825,0.00948297604035309,14,0.0006773554314537921
200,2017-09-01,Big 12,2071,19825,0.1044640605296343,16,0.006529003783102144
201,2017-09-01,Big Ten,7075,19825,0.35687263556116017,18,0.019826257531175565
202,2017-09-01,Conference USA,0,19825,0.0,10,0.0
203,2017-09-01,FBS Independents,31,19825,0.0015636822194199243,3,0.0005212274064733081
204,2017-09-01,Mid-American,0,19825,0.0,12,0.0
205,2017-09-01,Mountain West,19,19825,0.0009583858764186633,12,7.986548970155528e-05
206,2017-09-01,Pac-12,233,19825,0.01175283732660782,2,0.00587641866330391
207,2017-09-01,SEC,5759,19825,0.2904918032786885,16,0.018155737704918032
208,2017-09-01,Sun Belt,0,19825,0.0,14,0.0
209,2017-09-02,ACC,4449,19825,0.22441361916771752,17,0.013200801127512795
210,2017-09-02,American Athletic,188,19825,0.00948297604035309,14,0.0006773554314537921
211,2017-09-02,Big 12,2071,19825,0.1044640605296343,16,0.006529003783102144
212,2017-09-02,Big Ten,7075,19825,0.35687263556116017,18,0.019826257531175565
213,2017-09-02,Conference USA,0,19825,0.0,10,0.0
214,2017-09-02,FBS Independents,31,19825,0.0015636822194199243,3,0.0005212274064733081
215,2017-09-02,Mid-American,0,19825,0.0,12,0.0
216,2017-09-02,Mountain West,19,19825,0.0009583858764186633,12,7.986548970155528e-05
217,2017-09-02,Pac-12,233,19825,0.01175283732660782,2,0.00587641866330391
218,2017-09-02,SEC,5759,19825,0.2904918032786885,16,0.018155737704918032
219,2017-09-02,Sun Belt,0,19825,0.0,14,0.0
220,2017-09-03,ACC,4449,19825,0.22441361916771752,17,0.013200801127512795
221,2017-09-03,American Athletic,188,19825,0.00948297604035309,14,0.0006773554314537921
222,2017-09-03,Big 12,2071,19825,0.1044640605296343,16,0.006529003783102144
223,2017-09-03,Big Ten,7075,19825,0.35687263556116017,18,0.019826257531175565
224,2017-09-03,Conference USA,0,19825,0.0,10,0.0
225,2017-09-03,FBS Independents,31,19825,0.0015636822194199243,3,0.0005212274064733081
226,2017-09-03,Mid-American,0,19825,0.0,12,0.0
227,2017-09-03,Mountain West,19,19825,0.0009583858764186633,12,7.986548970155528e-05
228,2017-09-03,Pac-12,233,19825,0.01175283732660782,2,0.00587641866330391
229,2017-09-03,SEC,5759,19825,0.2904918032786885,16,0.018155737704918032
230,2017-09-03,Sun Belt,0,19825,0.0,14,0.0
231,2017-09-04,ACC,4107,19825,0.20716267339218158,17,0.0121860396113048
232,2017-09-04,American Athletic,293,19825,0.014779319041614124,14,0.0010556656458295803
233,2017-09-04,Big 12,2123,19825,0.10708701134930643,16,0.006692938209331652
234,2017-09-04,Big Ten,7060,19825,0.3561160151324086,18,0.01978422306291159
235,2017-09-04,Conference USA,0,19825,0.0,10,0.0
236,2017-09-04,FBS Independents,57,19825,0.00287515762925599,3,0.0009583858764186633
237,2017-09-04,Mid-American,0,19825,0.0,12,0.0
238,2017-09-04,Mountain West,201,19825,0.010138713745271123,12,0.000844892812105927
239,2017-09-04,Pac-12,419,19825,0.021134930643127364,2,0.010567465321563682
240,2017-09-04,SEC,5565,19825,0.2807061790668348,16,0.017544136191677176
241,2017-09-04,Sun Belt,0,19825,0.0,14,0.0
242,2017-09-05,ACC,4107,19825,0.20716267339218158,17,0.0121860396113048
243,2017-09-05,American Athletic,293,19825,0.014779319041614124,14,0.0010556656458295803
244,2017-09-05,Big 12,2123,19825,0.10708701134930643,16,0.006692938209331652
245,2017-09-05,Big Ten,7060,19825,0.3561160151324086,18,0.01978422306291159
246,2017-09-05,Conference USA,0,19825,0.0,10,0.0
247,2017-09-05,FBS Independents,57,19825,0.00287515762925599,3,0.0009583858764186633
248,2017-09-05,Mid-American,0,19825,0.0,12,0.0
249,2017-09-05,Mountain West,201,19825,0.010138713745271123,12,0.000844892812105927
250,2017-09-05,Pac-12,419,19825,0.021134930643127364,2,0.010567465321563682
251,2017-09-05,SEC,5565,19825,0.2807061790668348,16,0.017544136191677176
252,2017-09-05,Sun Belt,0,19825,0.0,14,0.0
253,2017-09-06,ACC,4107,19825,0.20716267339218158,17,0.0121860396113048
254,2017-09-06,American Athletic,293,19825,0.014779319041614124,14,0.0010556656458295803
255,2017-09-06,Big 12,2123,19825,0.10708701134930643,16,0.006692938209331652
256,2017-09-06,Big Ten,7060,19825,0.3561160151324086,18,0.01978422306291159
257,2017-09-06,Conference USA,0,19825,0.0,10,0.0
258,2017-09-06,FBS Independents,57,19825,0.00287515762925599,3,0.0009583858764186633
259,2017-09-06,Mid-American,0,19825,0.0,12,0.0
260,2017-09-06,Mountain West,201,19825,0.010138713745271123,12,0.000844892812105927
261,2017-09-06,Pac-12,419,19825,0.021134930643127364,2,0.010567465321563682
262,2017-09-06,SEC,5565,19825,0.2807061790668348,16,0.017544136191677176
263,2017-09-06,Sun Belt,0,19825,0.0,14,0.0
264,2017-09-07,ACC,4107,19825,0.20716267339218158,17,0.0121860396113048
265,2017-09-07,American Athletic,293,19825,0.014779319041614124,14,0.0010556656458295803
266,2017-09-07,Big 12,2123,19825,0.10708701134930643,16,0.006692938209331652
267,2017-09-07,Big Ten,7060,19825,0.3561160151324086,18,0.01978422306291159
268,2017-09-07,Conference USA,0,19825,0.0,10,0.0
269,2017-09-07,FBS Independents,57,19825,0.00287515762925599,3,0.0009583858764186633
270,2017-09-07,Mid-American,0,19825,0.0,12,0.0
271,2017-09-07,Mountain West,201,19825,0.010138713745271123,12,0.000844892812105927
272,2017-09-07,Pac-12,419,19825,0.021134930643127364,2,0.010567465321563682
273,2017-09-07,SEC,5565,19825,0.2807061790668348,16,0.017544136191677176
274,2017-09-07,Sun Belt,0,19825,0.0,14,0.0
275,2017-09-08,ACC,4107,19825,0.20716267339218158,17,0.0121860396113048
276,2017-09-08,American Athletic,293,19825,0.014779319041614124,14,0.0010556656458295803
277,2017-09-08,Big 12,2123,19825,0.10708701134930643,16,0.006692938209331652
278,2017-09-08,Big Ten,7060,19825,0.3561160151324086,18,0.01978422306291159
279,2017-09-08,Conference USA,0,19825,0.0,10,0.0
280,2017-09-08,FBS Independents,57,19825,0.00287515762925599,3,0.0009583858764186633
281,2017-09-08,Mid-American,0,19825,0.0,12,0.0
282,2017-09-08,Mountain West,201,19825,0.010138713745271123,12,0.000844892812105927
283,2017-09-08,Pac-12,419,19825,0.021134930643127364,2,0.010567465321563682
284,2017-09-08,SEC,5565,19825,0.2807061790668348,16,0.017544136191677176
285,2017-09-08,Sun Belt,0,19825,0.0,14,0.0
286,2017-09-09,ACC,4107,19825,0.20716267339218158,17,0.0121860396113048
287,2017-09-09,American Athletic,293,19825,0.014779319041614124,14,0.0010556656458295803
288,2017-09-09,Big 12,2123,19825,0.10708701134930643,16,0.006692938209331652
289,2017-09-09,Big Ten,7060,19825,0.3561160151324086,18,0.01978422306291159
290,2017-09-09,Conference USA,0,19825,0.0,10,0.0
291,2017-09-09,FBS Independents,57,19825,0.00287515762925599,3,0.0009583858764186633
292,2017-09-09,Mid-American,0,19825,0.0,12,0.0
293,2017-09-09,Mountain West,201,19825,0.010138713745271123,12,0.000844892812105927
294,2017-09-09,Pac-12,419,19825,0.021134930643127364,2,0.010567465321563682
295,2017-09-09,SEC,5565,19825,0.2807061790668348,16,0.017544136191677176
296,2017-09-09,Sun Belt,0,19825,0.0,14,0.0
297,2017-09-10,ACC,4107,19825,0.20716267339218158,17,0.0121860396113048
298,2017-09-10,American Athletic,293,19825,0.014779319041614124,14,0.0010556656458295803
299,2017-09-10,Big 12,2123,19825,0.10708701134930643,16,0.006692938209331652
300,2017-09-10,Big Ten,7060,19825,0.3561160151324086,18,0.01978422306291159
301,2017-09-10,Conference USA,0,19825,0.0,10,0.0
302,2017-09-10,FBS Independents,57,19825,0.00287515762925599,3,0.0009583858764186633
303,2017-09-10,Mid-American,0,19825,0.0,12,0.0
304,2017-09-10,Mountain West,201,19825,0.010138713745271123,12,0.000844892812105927
305,2017-09-10,Pac-12,419,19825,0.021134930643127364,2,0.010567465321563682
306,2017-09-10,SEC,5565,19825,0.2807061790668348,16,0.017544136191677176
307,2017-09-10,Sun Belt,0,19825,0.0,14,0.0
308,2017-09-11,ACC,3698,19825,0.18653215636822193,17,0.010972479786365995
309,2017-09-11,American Athletic,432,19825,0.021790668348045397,14,0.0015564763105746712
310,2017-09-11,Big 12,2313,19825,0.11667087011349306,16,0.007291929382093316
311,2017-09-11,Big Ten,6888,19825,0.3474401008827238,18,0.01930222782681799
312,2017-09-11,Conference USA,0,19825,0.0,10,0.0
313,2017-09-11,FBS Independents,246,19825,0.012408575031525851,3,0.004136191677175284
314,2017-09-11,Mid-American,0,19825,0.0,12,0.0
315,2017-09-11,Mountain West,365,19825,0.01841109709962169,12,0.0015342580916351408
316,2017-09-11,Pac-12,551,19825,0.027793190416141235,2,0.013896595208070617
317,2017-09-11,SEC,5332,19825,0.268953341740227,16,0.016809583858764188
318,2017-09-11,Sun Belt,0,19825,0.0,14,0.0
319,2017-09-12,ACC,3698,19825,0.18653215636822193,17,0.010972479786365995
320,2017-09-12,American Athletic,432,19825,0.021790668348045397,14,0.0015564763105746712
321,2017-09-12,Big 12,2313,19825,0.11667087011349306,16,0.007291929382093316
322,2017-09-12,Big Ten,6888,19825,0.3474401008827238,18,0.01930222782681799
323,2017-09-12,Conference USA,0,19825,0.0,10,0.0
324,2017-09-12,FBS Independents,246,19825,0.012408575031525851,3,0.004136191677175284
325,2017-09-12,Mid-American,0,19825,0.0,12,0.0
326,2017-09-12,Mountain West,365,19825,0.01841109709962169,12,0.0015342580916351408
327,2017-09-12,Pac-12,551,19825,0.027793190416141235,2,0.013896595208070617
328,2017-09-12,SEC,5332,19825,0.268953341740227,16,0.016809583858764188
329,2017-09-12,Sun Belt,0,19825,0.0,14,0.0
330,2017-09-13,ACC,3698,19825,0.18653215636822193,17,0.010972479786365995
331,2017-09-13,American Athletic,432,19825,0.021790668348045397,14,0.0015564763105746712
332,2017-09-13,Big 12,2313,19825,0.11667087011349306,16,0.007291929382093316
333,2017-09-13,Big Ten,6888,19825,0.3474401008827238,18,0.01930222782681799
334,2017-09-13,Conference USA,0,19825,0.0,10,0.0
335,2017-09-13,FBS Independents,246,19825,0.012408575031525851,3,0.004136191677175284
336,2017-09-13,Mid-American,0,19825,0.0,12,0.0
337,2017-09-13,Mountain West,365,19825,0.01841109709962169,12,0.0015342580916351408
338,2017-09-13,Pac-12,551,19825,0.027793190416141235,2,0.013896595208070617
339,2017-09-13,SEC,5332,19825,0.268953341740227,16,0.016809583858764188
340,2017-09-13,Sun Belt,0,19825,0.0,14,0.0
341,2017-09-14,ACC,3698,19825,0.18653215636822193,17,0.010972479786365995
342,2017-09-14,American Athletic,432,19825,0.021790668348045397,14,0.0015564763105746712
343,2017-09-14,Big 12,2313,19825,0.11667087011349306,16,0.007291929382093316
344,2017-09-14,Big Ten,6888,19825,0.3474401008827238,18,0.01930222782681799
345,2017-09-14,Conference USA,0,19825,0.0,10,0.0
346,2017-09-14,FBS Independents,246,19825,0.012408575031525851,3,0.004136191677175284
347,2017-09-14,Mid-American,0,19825,0.0,12,0.0
348,2017-09-14,Mountain West,365,19825,0.01841109709962169,12,0.0015342580916351408
349,2017-09-14,Pac-12,551,19825,0.027793190416141235,2,0.013896595208070617
350,2017-09-14,SEC,5332,19825,0.268953341740227,16,0.016809583858764188
351,2017-09-14,Sun Belt,0,19825,0.0,14,0.0
352,2017-09-15,ACC,3698,19825,0.18653215636822193,17,0.010972479786365995
353,2017-09-15,American Athletic,432,19825,0.021790668348045397,14,0.0015564763105746712
354,2017-09-15,Big 12,2313,19825,0.11667087011349306,16,0.007291929382093316
355,2017-09-15,Big Ten,6888,19825,0.3474401008827238,18,0.01930222782681799
356,2017-09-15,Conference USA,0,19825,0.0,10,0.0
357,2017-09-15,FBS Independents,246,19825,0.012408575031525851,3,0.004136191677175284
358,2017-09-15,Mid-American,0,19825,0.0,12,0.0
359,2017-09-15,Mountain West,365,19825,0.01841109709962169,12,0.0015342580916351408
360,2017-09-15,Pac-12,551,19825,0.027793190416141235,2,0.013896595208070617
361,2017-09-15,SEC,5332,19825,0.268953341740227,16,0.016809583858764188
362,2017-09-15,Sun Belt,0,19825,0.0,14,0.0
363,2017-09-16,ACC,3698,19825,0.18653215636822193,17,0.010972479786365995
364,2017-09-16,American Athletic,432,19825,0.021790668348045397,14,0.0015564763105746712
